case_name,load_time_ms,solve_time_ms,total_time_ms,converged,iterations,num_buses,num_branches,num_gens,objective_value,baseline_objective,objective_gap_abs,objective_gap_rel
api,109.282592,5.711567,114.994159,true,1,7336,11519,684,1987000.6461781939,0.0,0.0,0.0
pglib_opf_case10000_goc,129.324584,7.833975,137.158559,true,1,10000,13193,2016,1318997.634858615,1354000.0,35002.365141385,0.02585108208374077
pglib_opf_case10192_epigrids,157.039932,4.592426000000001,161.63235799999998,true,1,10192,17011,714,1664738.8704288495,1686900.0,22161.129571150523,0.013137192229029891
pglib_opf_case10480_goc,167.483202,4.822384,172.305586,true,1,10480,18559,777,2256875.852669642,2314600.0,57724.14733035816,0.024939145999463473
pglib_opf_case118_ieee,2.649357,0.137652,2.7870090000000003,true,1,118,186,54,94119.40265564,97214.0,3094.597344359994,0.03183283626185523
pglib_opf_case1354_pegase,17.307099,1.1393600000000002,18.446459,true,1,1354,1991,260,1191425.0389641528,1258800.0,67374.9610358472,0.053523165741855096
pglib_opf_case13659_pegase,192.87289299999998,9.764605000000001,202.63749799999997,true,1,13659,20467,4092,8804103.993387904,8948000.0,143896.00661209598,0.016081359701843538
pglib_opf_case14_ieee,0.286003,0.019462,0.305465,true,1,14,20,5,2072.041572089999,2178.1,106.05842791000077,0.04869309393967255
pglib_opf_case162_ieee_dtc,3.74756,0.048751,3.796311,true,1,162,284,12,80526.0343509316,108080.0,27553.9656490684,0.25494046677524423
pglib_opf_case179_goc,3.8433669999999998,0.116317,3.9596839999999998,true,1,179,263,29,748850.8532089085,754270.0,5419.146791091538,0.007184624592110966
pglib_opf_case1803_snem,25.410248,1.232008,26.642256,true,1,1803,2795,230,63834.1159926126,98335.0,34500.8840073874,0.3508505009140937
pglib_opf_case1888_rte,25.586568,1.174342,26.76091,true,1,1888,2531,290,1260966.4113674234,1402500.0,141533.58863257663,0.10091521471128459
pglib_opf_case19402_goc,263.19281,8.381297,271.574107,true,1,19402,34704,971,1950286.0433423584,1977800.0,27513.956657641567,0.013911394811225386
pglib_opf_case197_snem,3.856441,0.132165,3.988606,true,1,197,286,35,1.4888445295844572,1.5017,0.012855470415542802,0.008560611583900115
pglib_opf_case2000_goc,31.349773999999996,1.100296,32.45007,true,1,2000,3633,238,969159.2793673039,973430.0,4270.720632696059,0.004387290953325929
pglib_opf_case200_activ,2.965826,0.079594,3.04542,true,1,200,245,38,27578.662105000003,27558.0,20.662105000003066,0.0007497679439728233
pglib_opf_case20758_epigrids,262.91589799999997,9.93988,272.855778,true,1,20758,33343,2174,2630076.0279498044,2618600.0,11476.02794980444,0.00438250513625771
pglib_opf_case2312_goc,29.375808,1.575395,30.951203,true,1,2312,3013,226,436763.8262393213,441330.0,4566.173760678677,0.010346393312665528
pglib_opf_case2383wp_k,29.093688999999998,1.683022,30.776711,true,1,2383,2896,327,1804233.1745720278,1868200.0,63966.825427972246,0.03423981662989629
pglib_opf_case240_pserc,3.371909,0.201767,3.573676,true,1,240,448,143,3173430.183231139,3329700.0,156269.8167688609,0.04693210102077092
pglib_opf_case24464_goc,281.44879299999997,10.075674,291.52446699999996,true,1,24464,37816,1591,2738160.692368025,2629500.0,108660.69236802496,0.04132370882982505
pglib_opf_case24_ieee_rts,0.765451,0.081475,0.846926,true,1,24,38,33,62651.194225600004,63352.0,700.8057743999962,0.011062093926000697
pglib_opf_case2736sp_k,35.432325,1.49601,36.928335,true,1,2736,3269,270,1293958.0565919995,1308000.0,14041.943408000516,0.010735430740061556
pglib_opf_case2737sop_k,38.237454,1.684015,39.921469,true,1,2737,3269,219,774153.6618337992,777730.0,3576.3381662007887,0.004598431545910263
pglib_opf_case2742_goc,42.691066,1.459099,44.150165,true,1,2742,4673,182,267684.4613623872,275710.0,8025.538637612772,0.029108623690155495
pglib_opf_case2746wop_k,33.036438000000004,1.809496,34.84593400000001,true,1,2746,3307,431,1195649.6077484018,1208300.0,12650.392251598183,0.010469578955224847
pglib_opf_case2746wp_k,29.986687,1.9555369999999999,31.942224,true,1,2746,3279,456,1606542.662789501,1631700.0,25157.337210498983,0.015417869222589314
pglib_opf_case2853_sdet,40.406318,2.081361,42.487679,true,1,2853,3921,819,1982022.0783715728,2052400.0,70377.92162842723,0.03429054844495577
pglib_opf_case2869_pegase,53.952855,2.265688,56.218543,true,1,2869,4582,510,2372919.2961818157,2462800.0,89880.70381818432,0.0364953320684523
pglib_opf_case30000_goc,252.155367,14.593349,266.748716,true,1,30000,35393,3526,986343.1805707645,1142300.0,155956.81942923553,0.1365287747782855
pglib_opf_case300_ieee,4.582932,0.25154099999999996,4.834472999999999,true,1,300,411,69,488728.4149318205,565220.0,76491.58506817953,0.1353306412868963
pglib_opf_case3012wp_k,37.776099,1.757073,39.533172,true,1,3012,3572,385,2530954.1667359946,2600800.0,69845.83326400537,0.026855518788067276
pglib_opf_case3022_goc,40.529984,1.9244780000000001,42.454462,true,1,3022,4135,327,580923.2537424124,601380.0,20456.74625758757,0.034016339515094564
pglib_opf_case30_as,0.635443,0.021675000000000003,0.657118,true,1,30,41,6,780.0938682299999,803.13,23.03613177000011,0.02868294269918956
pglib_opf_case30_ieee,0.735275,0.020997,0.756272,true,1,30,41,6,5787.178545435998,8208.5,2421.321454564002,0.29497733502637535
pglib_opf_case3120sp_k,37.088300999999994,1.708961,38.797261999999996,true,1,3120,3693,298,2105919.5655199997,2148000.0,42080.43448000029,0.01959051884543775
pglib_opf_case3375wp_k,39.698516000000005,2.1509139999999998,41.849430000000005,true,1,3374,4161,479,7354855.69029998,7438200.0,83344.30970001966,0.01120490302761685
pglib_opf_case3970_goc,42.214187,1.995734,44.209921,true,1,3970,6641,383,1133249.1274246823,960990.0,172259.12742468226,0.17925173771286096
pglib_opf_case39_epri,0.601468,0.040985999999999995,0.642454,true,1,39,46,10,134300.03283682093,138420.0,4119.96716317907,0.02976424767504024
pglib_opf_case3_lmbd,0.26896800000000004,0.049744,0.31871200000000005,true,1,3,3,3,8985.4309125,5812.6,3172.8309124999996,0.5458539917592815
pglib_opf_case4020_goc,58.704694,2.626053,61.330747,true,1,4020,6988,352,808075.0466437994,822250.0,14174.953356200596,0.017239225729644994
pglib_opf_case4601_goc,60.999572,2.756641,63.756213,true,1,4601,7199,408,862836.9048498331,826240.0,36596.90484983311,0.04429331047859352
pglib_opf_case4619_goc,67.827131,2.939639,70.76677,true,1,4619,8150,347,466146.22185890324,476700.0,10553.778141096758,0.022139245104041867
pglib_opf_case4661_sdet,63.041591999999994,2.597119,65.638711,true,1,4661,5997,724,2140068.6999137923,2251300.0,111231.30008620769,0.04940758676596086
pglib_opf_case4837_goc,67.98111499999999,2.9815359999999997,70.962651,true,1,4837,7765,332,862538.6273383491,872260.0,9721.37266165088,0.011145040081685369
pglib_opf_case4917_goc,57.877148000000005,3.014012,60.891160000000006,true,1,4917,6726,567,1346431.7953775031,1387800.0,41368.20462249685,0.029808477174302385
pglib_opf_case500_goc,7.025345,0.521069,7.5464139999999995,true,1,500,728,171,449009.9184268537,454950.0,5940.081573146279,0.013056559123302076
pglib_opf_case5658_epigrids,86.25997100000001,3.204745,89.46471600000001,true,1,5658,9072,474,1207182.1868992,1207300.0,117.81310079991817,0.00009758394831435283
pglib_opf_case57_ieee,1.5628300000000002,0.044226,1.6070560000000003,true,1,57,80,7,35153.704385395984,37589.0,2435.295614604016,0.0647874541648891
pglib_opf_case588_sdet,9.777909,0.363856,10.141765,true,1,588,686,95,300882.9483231073,313140.0,12257.051676892675,0.03914240172731901
pglib_opf_case5_pjm,0.19098199999999999,0.015461999999999998,0.206444,true,1,5,6,5,15110.0,17552.0,2442.0,0.13912944393801277
pglib_opf_case60_c,0.71343,0.06322900000000001,0.776659,true,1,60,88,23,91594.0,92694.0,1100.0,0.011867003258031803
pglib_opf_case6468_rte,116.541222,3.447631,119.988853,true,1,6468,9000,399,2009091.8186549512,2069700.0,60608.181345048826,0.029283558653451624
pglib_opf_case6470_rte,69.891362,3.841377,73.732739,true,1,6470,9005,761,2153544.575110551,2237600.0,84055.42488944903,0.03756499145935334
pglib_opf_case6495_rte,94.467642,3.13995,97.607592,true,1,6495,9019,680,2533428.751946507,3067800.0,534371.248053493,0.17418712042945855
pglib_opf_case6515_rte,58.894338,2.7849250000000003,61.679263,true,1,6515,9037,684,2579107.7409482524,2825500.0,246392.25905174762,0.0872030646086525
pglib_opf_case7336_epigrids,113.702057,5.402782,119.104839,true,1,7336,11519,684,1873673.098892629,1882400.0,8726.901107371086,0.004636050312033089
pglib_opf_case73_ieee_rts,1.394537,0.19575399999999998,1.590291,true,1,73,120,99,187957.45406880006,189760.0,1802.5459311999439,0.009499082689713027
pglib_opf_case78484_epigrids,634.198732,36.575078,670.7738099999999,true,1,78484,126015,6773,14883385.98934892,15316000.0,432614.01065107994,0.028245887349900755
